title,author,year
The Sardonyx Net,Elizabeth A. Lynn,1982
King David's Spaceship,Jerry Pournelle,1982
Worlds,Joe Haldeman,1982
At the Eye of the Ocean,Hilbert Schenck,1982
Radix,A. A. Attanasio,1982
The Unreasoning Mask,Philip Jos� Farmer,1982
Voyagers,Ben Bova,1982
Dream Dancer,Janet Morris,1982
The Pride of Chanur,C. J. Cherryh,1982
The Dreamers,James Gunn,1982
Twelve Fair Kingdoms,Suzette Haden Elgin,1982
Giants' Star,James Hogan,1982
The Affirmation,Christopher Priest,1982
Deathhunter,Ian Watson,1982
VALIS,Philip K. Dick,1982
Lilith,Jack L. Chalker,1982
Systemic Shock,Dean Ing,1982
In the Hands of Glory,Phyllis Eisenstein,1982
Wave Without a Shore,C. J. Cherryh,1982
The Claw of the Conciliator,Gene Wolfe,1982
Little, Big,1982
The Changing Land,Roger Zelazny,1982
The War Hound and the World's Pain,Michael Moorcock,1982
The Captive,Robert Stallman,1982
Camber the Heretic,Katherine Kurtz,1982
The Keep,F. Paul Wilson,1982
Horn Crown,Andre Norton,1982
A Sense of Shadow,Kate Wilhelm,1982
Lycanthia,Tanith Lee,1982
Path of the Eclipse,Chelsea Quinn Yarbro,1982
Delusion's Master,Tanith Lee,1982
Peregrine: Secundus,Avram Davidson,1982
Kingdom of Summer,Gillian Bradshaw,1982
Esbae: A Winter's Tale,Linda Haldeman,1982
Journey Behind the Wind,Patricia Wrightson,1982
The Sable Moon,Nancy Springer,1982
Madwand,Roger Zelazny,1982
Gryphon in Glory,Andre Norton,1982
Too Long a Sacrifice,Mildred Downey Broxon,1982
Cujo,Stephen King,1982
Blue Adept,Piers Anthony,1982
Foundation's Edge,Isaac Asimov,1983
2010: Odyssey Two,Arthur C. Clarke,1983
Friday,Robert A. Heinlein,1983
The Pride of Chanur,C. J. Cherryh,1983
Courtship Rite,Donald Kingsbury,1983
Helliconia Spring,Brian W. Aldiss,1983
The Crystal Singer,Anne McCaffrey,1983
Starburst,Frederik Pohl,1983
Merchanter's Luck,C. J. Cherryh,1983
Life, the Universe and Everything,1983
The Golden Torc,Julian May,1983
Hawkmistress!,Marion Zimmer Bradley,1983
Roderick,John Sladek,1983
No Enemy But Time,Michael Bishop,1983
Eye of Cat,Roger Zelazny,1983
The Descent of Anansi,Larry Niven&Steven Barnes,1983
Mindkiller,Spider Robinson,1983
A Rose for Armageddon,Hilbert Schenck,1983
The White Plague,Frank Herbert,1983
Coils,Fred Saberhagen&Roger Zelazny,1983
Wintermind,Marvin Kaye&Parke Godwin,1983
Birthright: The Book of Man,Mike Resnick,1983
Aurelia,R. A. Lafferty,1983
Light on the Sound,Somtow Sucharitkul,1983
Nor Crystal Tears,Alan Dean Foster,1983
The Fall of the Shell,Paul O. Williams,1983
The Sword of the Lictor,Gene Wolfe,1983
The Citadel of the Autarch,Gene Wolfe,1983
Fevre Dream,George R. R. Martin,1983
The One Tree,Stephen R. Donaldson,1983
The Transmigration of Timothy Archer,Philip K. Dick,1983
Ogre, Ogre,1983
Tempting Fate,Chelsea Quinn Yarbro,1983
Centaur Aisle,Piers Anthony,1983
Juxtaposition,Piers Anthony,1983
Oh Susannah!,Kate Wilhelm,1983
Pawn of Prophecy,David Eddings,1983
Elfstones of Shannara,Terry Brooks,1983
The Black Beast,Nancy Springer,1983
The Swordbearer,Glen Cook,1983
In Winter's Shadow,Gillian Bradshaw,1983
In Viriconium,M. John Harrison,1983
The Delicate Dependency,Michael Talbot,1983
The Blue Sword,Robin McKinley,1983
The Bloodwind,Charles L. Grant,1983
Startide Rising,David Brin,1984
The Robots of Dawn,Isaac Asimov,1984
Millennium,John Varley,1984
Helliconia Summer,Brian W. Aldiss,1984
The Void Captain's Tale,Norman Spinrad,1984
Moreta: Dragonlady of Pern,Anne McCaffrey,1984
Thendara House,Marion Zimmer Bradley,1984
Against Infinity,Gregory Benford,1984
Orion Shall Rise,Poul Anderson,1984
The Nonborn King,Julian May,1984
Superluminal,Vonda N. McIntyre,1984
Welcome, Chaos,1984
The Crucible of Time,John Brunner,1984
Worlds Apart,Joe Haldeman,1984
Valentine Pontifex,Robert Silverberg,1984
Gods of Riverworld,Philip Jos� Farmer,1984
The Citadel of the Autarch,Gene Wolfe,1984
Forty Thousand in Gehenna,C. J. Cherryh,1984
A Matter for Men,David Gerrold,1984
The Birth of the People's Republic of Antarctica,John Calvin Batchelor,1984
Wall Around a Star,Jack Williamson&Frederik Pohl,1984
Golden Witchbreed,Mary Gentle,1984
Broken Symmetries,Paul Preuss,1984
Roderick at Random,John Sladek,1984
There Is No Darkness,Joe Haldeman&Jack C. Haldeman II,1984
Code of the Lifemaker,James P. Hogan,1984
Tik-Tok,John Sladek,1984
Transformer,M. A. Foster,1984
The Mists of Avalon,Marion Zimmer Bradley,1984
The Anubis Gates,Tim Powers,1984
The Armageddon Rag,George R. R. Martin,1984
Lyonesse,Jack Vance,1984
White Gold Wielder,Stephen R. Donaldson,1984
Christine,Stephen King,1984
Pet Sematary,Stephen King,1984
The Dreamstone,C. J. Cherryh,1984
Damiano,R. A. MacAvoy,1984
Neveryóna,Samuel R. Delany,1984
Dragon on a Pedestal,Piers Anthony,1984
Hart's Hope,Orson Scott Card,1984
Cugel's Saga,Jack Vance,1984
The Sword of Winter,Marta Randall,1984
Tea with the Black Dragon,R. A. MacAvoy,1984
Magician's Gambit,David Eddings,1984
The Tree of Swords and Jewels,C. J. Cherryh,1984
On a Pale Horse,Piers Anthony,1984
Floating Dragon,Peter Straub,1984
The Neverending Story,Michael Ende,1984
Anackire,Tanith Lee,1984
The Dragon Waiting,John M. Ford,1984
Sung in Shadow,Tanith Lee,1984
'Ware Hawk!,Andre Norton,1984
The Silent Gondoliers,S. Morgenstern,1984
The Sword Is Forged,Evangeline Walton,1984
The Integral Trees,Larry Niven,1985
Demon,John Varley,1985
Heechee Rendezvous,Frederik Pohl,1985
Stars In My Pocket Like Grains of Sand,Samuel R. Delany,1985
Chanur's Venture,C. J. Cherryh,1985
Across the Sea of Suns,Gregory Benford,1985
West of Eden,Harry Harrison,1985
Neuromancer,William Gibson,1985
The Final Encyclopedia,Gordon R. Dickson,1985
City of Sorcery,Marion Zimmer Bradley,1985
Icehenge,Kim Stanley Robinson,1985
The Peace War,Vernor Vinge,1985
World's End,Joan D. Vinge,1985
Clay's Ark,Octavia E. Butler,1985
The Adversary,Julian May,1985
The Wild Shore,Kim Stanley Robinson,1985
Heretics of Dune,Frank Herbert,1985
Emergence,David R. Palmer,1985
A Day for Damnation,David Gerrold,1985
Native Tongue,Suzette Haden Elgin,1985
Green Eyes,Lucius Shepard,1985
Free Live Free,Gene Wolfe,1985
Star Rebel,F. M. Busby,1985
Dr. Adder,K. W. Jeter,1985
The Man Who Melted,Jack Dann,1985
The Glamour,Christopher Priest,1985
The Practice Effect,David Brin,1985
“Steam Bird”,Hilbert Schenck,1985
Them Bones,Howard Waldrop,1985
Circumpolar!,Richard A. Lupoff,1985
 A Comedy of Justice,Robert A. Heinlein,1985
Damiano's Lute,R. A. MacAvoy,1985
Raphael,R. A. MacAvoy,1985
The Talisman,Stephen King&Peter Straub,1985
The Infinity Concerto,Greg Bear,1985
Gilgamesh the King,Robert Silverberg,1985
The Ladies of Mandrigyn,Barbara Hambly,1985
Enchanter's End Game,David Eddings,1985
The Businessman,Thomas M. Disch,1985
Bearing an Hourglass,Piers Anthony,1985
Crewel Lye: A Caustic Yarn,Piers Anthony,1985
Castle of Wizardry,David Eddings,1985
Mythago Wood,Robert Holdstock,1985
Who Made Stevie Crye?,Michael Bishop,1985
Vampire Junction,S. P. Somtow,1985
Cards of Grief,Jane Yolen,1985
The Hero and the Crown,Robin McKinley,1985
Maia,Richard Adams,1985
Nights at the Circus,Angela Carter,1985
Brisingamen,Diana L. Paxson,1985
Moonheart,Charles de Lint,1985
The Third Book of Swords,Fred Saberhagen,1985
Fire and Hemlock,Diana Wynne Jones,1985
Half a Sky,R. A. Lafferty,1985
The Ceremonies,T. E. D. Klein,1985
The Bishop's Heir,Katherine Kurtz,1985
The Beggar Queen,Lloyd Alexander,1985
The Postman,David Brin,1986
Ender's Game,Orson Scott Card,1986
Footfall,Larry Niven&Jerry Pournelle,1986
Robots and Empire,Isaac Asimov,1986
Helliconia Winter,Brian W. Aldiss,1986
The Cat Who Walks Through Walls,Robert A. Heinlein,1986
Dinner at Deviant's Palace,Tim Powers,1986
Brightness Falls from the Air,James Tiptree,1986
Cuckoo's Egg,C. J. Cherryh,1986
Always Coming Home,Ursula K. Le Guin,1986
Blood Music,Greg Bear,1986
Eon,Greg Bear,1986
The Proteus Operation,James P. Hogan,1986
The Kif Strike Back,C. J. Cherryh,1986
Contact,Carl Sagan,1986
Artifact,Gregory Benford,1986
The Memory of Whiteness,Kim Stanley Robinson,1986
Schismatrix,Bruce Sterling,1986
Between the Strokes of Night,Charles Sheffield,1986
Chapterhouse: Dune,Frank Herbert,1986
Ancient of Days,Michael Bishop,1986
Emprise,Michael P. Kube-McDowell,1986
Dayworld,Philip Jos� Farmer,1986
Child of Fortune,Norman Spinrad,1986
Tom O'Bedlam,Robert Silverberg,1986
Starquake,Robert L. Forward,1986
Kiteworld,Keith Roberts,1986
The Remaking of Sigmund Freud,Barry N. Malzberg,1986
Five-Twelfths of Heaven,Melissa Scott,1986
The Darkling Wind,Somtow Sucharitkul,1986
Trumps of Doom,Roger Zelazny,1986
The Book of Kells,R. A. MacAvoy,1986
Dragonsbane,Barbara Hambly,1986
The Vampire Lestat,Anne Rice,1986
Lyonesse II: The Green Pearl,Jack Vance,1986
The King's Justice,Katherine Kurtz,1986
The Summer Tree,Guy Gavriel Kay,1986
The Dream Years,Lisa Goldstein,1986
With a Tangled Skein,Piers Anthony,1986
Dark of the Moon,P. C. Hodgell,1986
Silverthorn,Raymond E. Feist,1986
Mulengro,Charles de Lint,1986
Lovecraft's Book,Richard A. Lupoff,1986
Brokedown Palace,Steven Brust,1986
The Damnation Game,Clive Barker,1986
The Wishsong of Shannara,Terry Brooks,1986
Wizard of the Pigeons,Megan Lindholm,1986
In Yana, the Touch of Undying,1986
The Last Rainbow,Parke Godwin,1986
Things Invisible to See,Nancy Willard,1986
The Song of Mavin Manyshaped,Sheri S. Tepper,1986
Wings of Flame,Nancy Springer,1986
The Bronze King,Suzy McKee Charnas,1986
Marianne, the Magus,1986
Speaker for the Dead,Orson Scott Card,1987
Heart of the Comet,Gregory Benford&David Brin,1987
Count Zero,William Gibson,1987
The Handmaid's Tale,Margaret Atwood,1987
Foundation and Earth,Isaac Asimov,1987
Chanur's Homecoming,C. J. Cherryh,1987
Marooned in Realtime,Vernor Vinge,1987
The Songs of Distant Earth,Arthur C. Clarke,1987
The Coming of the Quantum Cats,Frederik Pohl,1987
Santiago,Mike Resnick,1987
Enigma,Michael P. Kube-McDowell,1987
When Gravity Fails,George Alec Effinger,1987
Lear's Daughters,M. Bradley KelloggwithWilliam Rossow,1987
Star of Gypsies,Robert Silverberg,1987
Nerilka's Story,Anne McCaffrey,1987
The Warrior's Apprentice,Lois McMaster Bujold,1987
The Moon Goddess and the Son,Donald Kingsbury,1987
Hardwired,Walter Jon Williams,1987
The Architect of Sleep,Steven R. Boyett,1987
Venus of Dreams,Pamela Sargent,1987
The Nimrod Hunt,Charles Sheffield,1987
This Is the Way the World Ends,James Morrow,1987
The Hercules Text,Jack McDevitt,1987
The Forever Man,Gordon R. Dickson,1987
The Ragged Astronauts,Bob Shaw,1987
Rebels' Seed,F. M. Busby,1987
Soldier of the Mist,Gene Wolfe,1987
Blood of Amber,Roger Zelazny,1987
It,Stephen King,1987
Godbody,Theodore Sturgeon,1987
Twisting the Rope,R. A. MacAvoy,1987
The Folk of the Air,Peter S. Beagle,1987
The Serpent Mage,Greg Bear,1987
Wizard of the Pigeons,Megan Lindholm,1987
The Quest for Saint Camber,Katherine Kurtz,1987
A Darkness at Sethanon,Raymond E. Feist,1987
The Mirror of Her Dreams,Stephen R. Donaldson,1987
The Darkest Road,Guy Gavriel Kay,1987
Magic Kingdom For Sale--Sold!,Terry Brooks,1987
Homunculus,James P. Blaylock,1987
Wielding a Red Sword,Piers Anthony,1987
The Falling Woman,Pat Murphy,1987
The Dragon in the Sword,Michael Moorcock,1987
Jinian Star-Eye,Sheri S. Tepper,1987
New York by Knight,Esther M. Friesner,1987
The King of Ys: Roma Mater,Poul Anderson&Karen Anderson,1987
The Hounds of God,Judith Tarr,1987
The Unconquered Country,Geoff Ryman,1987
Yarrow,Charles de Lint,1987
The Hungry Moon,Ramsey Campbell,1987
Dragonsbane,Barbara Hambly,1987
A Voice for Princess,John Morressy,1987
Talking Man,Terry Bisson,1987
The Uplift War,David Brin,1988
When Gravity Fails,George Alec Effinger,1988
The Urth of the New Sun,Gene Wolfe,1988
The Forge of God,Greg Bear,1988
Life During Wartime,Lucius Shepard,1988
The Annals of the Heechee,Frederik Pohl,1988
Vacuum Flowers,Michael Swanwick,1988
The Smoke Ring,Larry Niven,1988
Great Sky River,Gregory Benford,1988
2061: Odyssey Three,Arthur C. Clarke,1988
The Legacy of Heorot,Larry Niven,1988
To Sail Beyond the Sunset,Robert A. Heinlein,1988
Memories,Mike McQuay,1988
Fool's Run,Patricia A. McKillip,1988
The Secret Ascension,Michael Bishop,1988
The Tommyknockers,Stephen King,1988
Dawn,Octavia E. Butler,1988
Intervention,Julian May,1988
After Long Silence,Sheri S. Tepper,1988
Code Blue — Emergency!,James White,1988
Way of the Pilgrim,Gordon R. Dickson,1988
Araminta Station,Jack Vance,1988
Voice of the Whirlwind,Walter Jon Williams,1988
The Awakeners:Northshore; Southshore,Sheri S. Tepper,1988
Still River,Hal Clement,1988
Dover Beach,Richard Bowker,1988
Rumors of Spring,Richard Grant,1988
Liege-Killer,Christopher Hinz,1988
In Conquest Born,C. S. Friedman,1988
Little Heroes,Norman Spinrad,1988
Replay,Ken Grimwood,1988
Watchmen,Alan Moore&Dave Gibbons,1988
A Mask for the General,Lisa Goldstein,1988
Seventh Son,Orson Scott Card,1988
On Stranger Tides,Tim Powers,1988
Sign of Chaos,Roger Zelazny,1988
Weaveworld,Clive Barker,1988
Lincoln's Dreams,Connie Willis,1988
�gypt,John Crowley,1988
The Witches of Wenshar,Barbara Hambly,1988
The Grey Horse,R. A. MacAvoy,1988
Infernal Devices,K. W. Jeter,1988
Guardians of the West,David Eddings,1988
A Man Rides Through,Stephen R. Donaldson,1988
Being a Green Mother,Piers Anthony,1988
War for the Oaks,Emma Bull,1988
Bones of the Moon,Jonathan Carroll,1988
Swan Song,Robert R. McCammon,1988
The Dark Tower II: The Drawing of the Three,Stephen King,1988
Land of Dreams,James P. Blaylock,1988
Strange Toys,Patricia Geary,1988
Daughter of the Empire,Raymond E. Feist&Janny Wurts,1988
The Firebrand,Marion Zimmer Bradley,1988
Never the Twain,Kirk Mitchell,1988
Darkspell,Katharine Kerr,1988
Equal Rites,Terry Pratchett,1988
The Falling Woman,Pat Murphy,1988
Cyteen,C. J. Cherryh,1989
Mona Lisa Overdrive,William Gibson,1989
Islands in the Net,Bruce Sterling,1989
Prelude to Foundation,Isaac Asimov,1989
The Gold Coast,Kim Stanley Robinson,1989
Eternity,Greg Bear,1989
Dragonsdawn,Anne McCaffrey,1989
Deserted Cities of the Heart,Lewis Shiner,1989
Falling Free,Lois McMaster Bujold,1989
Araminta Station,Jack Vance,1989
