title,author,year
Ringworld,Larry Niven,1971
Tower of Glass,Robert Silverberg,1971
The Year of the Quiet Sun,Wilson Tucker,1971
And Chaos Died,Joanna Russ,1971
Downward to the Earth,Robert Silverberg,1971
Fourth Mansions,R. A. Lafferty,1971
Tau Zero,Poul Anderson,1971
“The Tactics of Mistake”,Gordon R. Dickson,1971
I Will Fear No Evil,Robert A. Heinlein,1971
“Star Light”,Hal Clement,1971
Beastchild,Dean Koontz,1971
Deryni Rising,Katherine Kurtz,1971
Chronocules,D. G. Compton,1971
The Steel Crocodile,D. G. Compton,1971
Nine Princes in Amber,Roger Zelazny,1971
After Things Fell Apart,Ron Goulart,1971
The Lathe of Heaven,Ursula K. Le Guin,1972
To Your Scattered Bodies Go,Philip Jos� Farmer,1972
A Time of Changes,Robert Silverberg,1972
Jack of Shadows,Roger Zelazny,1972
Dragonquest,Anne McCaffrey,1972
The World Inside,Robert Silverberg,1972
The Devil Is Dead,R. A. Lafferty,1972
The Fabulous Riverboat,Philip Jos� Farmer,1972
Son of Man,Robert Silverberg,1972
“The Second Trip”,Robert Silverberg,1972
The World Menders,Lloyd Biggle,1972
The Byworlder,Poul Anderson,1972
Furthest,Suzette Haden Elgin,1972
Arrive at Easterwine,R. A. Lafferty,1972
The Forest of Forever,Thomas Burnett Swann,1972
The Gods Themselves,Isaac Asimov,1973
The Book of Skulls,Robert Silverberg,1973
Dying Inside,Robert Silverberg,1973
When Harlie Was One,David Gerrold,1973
A Choice of Gods,Clifford D. Simak,1973
The Sheep Look Up,John Brunner,1973
There Will Be Time,Poul Anderson,1973
The Listeners,James E. Gunn,1973
The Guns of Avalon,Roger Zelazny,1973
The Iron Dream,Norman Spinrad,1973
The Fifth Head of Cerberus,Gene Wolfe,1973
What Entropy Means to Me,George Alec Effinger,1973
The Pritcher Mass,Gordon R. Dickson,1973
“The Brave, Free Men”,1973
Deryni Checkmate,Katherine Kurtz,1973
Beyond Apollo,Barry N. Malzberg,1973
Other Days, Other Eyes,1973
 “A Transatlantic Tunnel, Hurrah!” ,1973
Yesterday's Children,David Gerrold,1973
The Castle Keeps,andrew j. offutt,1973
Beyond the Resurrection,Gordon Eklund,1973
Rendezvous with Rama,Arthur C. Clarke,1974
Time Enough for Love,Robert A. Heinlein,1974
The People of the Wind,Poul Anderson,1974
Protector,Larry Niven,1974
The Man Who Folded Himself,David Gerrold,1974
Trullion: Alastor 2262,Jack Vance,1974
“The Far Call”,Gordon R. Dickson,1974
To Die In Italbar,Roger Zelazny,1974
Today We Choose Faces,Roger Zelazny,1974
The Cloud Walker,Edmund Cooper,1974
Relatives,George Alec Effinger,1974
Gravity's Rainbow,Thomas Pynchon,1974
Herovit's World,Barry N. Malzberg,1974
Hiero's Journey,Sterling Lanier,1974
The Doomsday Gene,John Boyd,1974
The Dispossessed,Ursula K. Le Guin,1975
The Mote in God's Eye,Larry Niven&Jerry Pournelle,1975
Flow My Tears, the Policeman Said,1975
The Godwhale,T. J. Bass,1975
The Unsleeping Eye,D. G. Compton,1975
The Inverted World,Christopher Priest,1975
Fire Time,Poul Anderson,1975
The Forever War,Joe Haldeman,1975
The Dream Millennium,James White,1975
The Twilight of Briareus,Richard Cowper,1975
The Company of Glory,Edgar Pangborn,1975
The Domains of Koryphon,Jack Vance,1975
The Forgotten Beasts of Eld,Patricia A. McKillip,1975
How Are the Mighty Fallen,Thomas Burnett Swann,1975
Total Eclipse,John Brunner,1975
The Destruction of the Temple,Barry N. Malzberg,1975
“Star Gate”,Tak Hallus,1975
Star Rider,Doris Piserchia,1975
A Midsummer Tempest,Poul Anderson,1975
Prince of Annwn,Evangeline Walton,1975
Walk to the End of the World,Suzy McKee Charnas,1975
Icerigger,Alan Dean Foster,1975
“A Knight of Ghosts and Shadows”,Poul Anderson,1975
The Forever War,Joe Haldeman,1976
The Shockwave Rider,John Brunner,1976
The Computer Connection(serial title “The Indian Giver“),Alfred Bester,1976
The Stochastic Man,Robert Silverberg,1976
Dhalgren,Samuel R. Delany,1976
Imperial Earth,Arthur C. Clarke,1976
The Heritage of Hastur,Marion Zimmer Bradley,1976
Doorways in the Sand,Roger Zelazny,1976
Norstrilia,Cordwainer Smith,1976
The Female Man,Joanna Russ,1976
Sign of the Unicorn,Roger Zelazny,1976
“Inferno”,Larry Niven&Jerry Pournelle,1976
Showboat World,Jack Vance,1976
A Funeral for the Eyes of Fire,Michael Bishop,1976
The Exile Waiting,Vonda N. McIntyre,1976
Blake's Progress,Ray Nelson,1976
Warriors of Dawn,M. A. Foster,1976
Lifeboat,Gordon R. Dickson&Harry Harrison,1976
Illuminatus!,Robert Shea&Robert Anton Wilson,1976
The Birthgrave,Tanith Lee,1976
Missing Man,Katherine MacLean,1976
Where Late the Sweet Birds Sang,Kate Wilhelm,1977
Mindbridge,Joe Haldeman,1977
Man Plus,Frederik Pohl,1977
Children of Dune,Frank Herbert,1977
A World Out of Time,Larry Niven,1977
Shadrach in the Furnace,Robert Silverberg,1977
Imperial Earth,Arthur C. Clarke,1977
Millennium,Ben Bova,1977
The Hand of Oberon,Roger Zelazny,1977
Brothers of Earth,C. J. Cherryh,1977
The Shattered Chain,Marion Zimmer Bradley,1977
Maske: Thaery,Jack Vance,1977
“Michaelmas”,Algis Budrys,1977
Triton,Samuel R. Delany,1977
The Clewiston Test,Kate Wilhelm,1977
Dragonsong,Anne McCaffrey,1977
Inferno,Larry Niven&Jerry Pournelle,1977
The Dragon and the George,Gordon R. Dickson,1977
Cloned Lives,Pamela Sargent,1977
The End of All Songs,Michael Moorcock,1977
Floating Worlds,Cecelia Holland,1977
Time of the Fourth Horseman,Chelsea Quinn Yarbro,1977
Gateway,Frederik Pohl,1978
In the Ocean of Night,Gregory Benford,1978
The Ophiuchi Hotline,John Varley,1978
Time Storm,Gordon R. Dickson,1978
Michaelmas,Algis Budrys,1978
A Scanner Darkly,Philip K. Dick,1978
The Dosadi Experiment,Frank Herbert,1978
Lucifer's Hammer,Larry Niven&Jerry Pournelle,1978
Dragonsinger,Anne McCaffrey,1978
Dying of the Light,George R. R. Martin,1978
The Forbidden Tower,Marion Zimmer Bradley,1978
Hunter of Worlds,C. J. Cherryh,1978
Mirkheim,Poul Anderson,1978
The Dark Design,Philip Jos� Farmer,1978
A Heritage of Stars,Clifford D. Simak,1978
Cirque,Terry Carr,1978
Moonstar Odyssey,David Gerrold,1978
Midnight at the Well of Souls,Jack L. Chalker,1978
Inherit the Stars,James P. Hogan,1978
All My Sins Remembered,Joe Haldeman,1978
The Martian Inca,Ian Watson,1978
A Little Knowledge,Michael Bishop,1978
If the Stars Are Gods,Gregory Benford&Gordon Eklund,1978
The Silmarillion,J. R. R. Tolkien,1978
Our Lady of Darkness,Fritz Leiber,1978
The Chronicles of Thomas Covenant the Unbeliever,Stephen R. Donaldson,1978
The Shining,Stephen King,1978
The Sword of Shannara,Terry Brooks,1978
Sword of the Demon,Richard A. Lupoff,1978
Heir of Sea and Fire,Patricia A. McKillip,1978
The Book of Merlyn,T. H. White,1978
A Spell for Chameleon,Piers Anthony,1978
The Grey Mane of Morning,Joy Chant,1978
Cry Silver Bells,Thomas Burnett Swann,1978
Trey of Swords,Andre Norton,1978
Queens Walk in the Dusk,Thomas Burnett Swann,1978
Silver on the Tree,Susan Cooper,1978
Dreamsnake,Vonda N. McIntyre,1979
Blind Voices,Tom Reamy,1979
The White Dragon,Anne McCaffrey,1979
The Faded Sun: Kesrith,C. J. Cherryh,1979
Colony,Ben Bova,1979
Stormqueen!,Marion Zimmer Bradley,1979
The Far Call,Gordon R. Dickson,1979
The Avatar,Poul Anderson,1979
The Courts of Chaos,Roger Zelazny,1979
Strangers,Gardner Dozois,1979
The Stars In Shroud,Gregory Benford,1979
Up the Walls of the World,James Tiptree,1979
The Outcasts of Heaven's Belt,Joan D. Vinge,1979
Sight of Proteus,Charles Sheffield,1979
The Stand,Stephen King,1979
Journey,Marta Randall,1979
Gloriana,Michael Moorcock,1979
Saint Camber,Katherine Kurtz,1979
The Faded Sun: Shon'jir,C. J. Cherryh,1979
“Stardance II”,Spider Robinson&Jeanne Robinson,1979
 “The Eye of the Heron”,Ursula K. Le Guin,1979
Hotel Transylvania,Chelsea Quinn Yarbro,1979
Masters of Solitude,Marvin Kaye&Parke Godwin,1979
A Different Light,Elizabeth A. Lynn,1979
Kalki,Gore Vidal,1979
Titan,John Varley,1980
Jem,Frederik Pohl,1980
The Fountains of Paradise,Arthur C. Clarke,1980
Stardance,Spider Robinson&Jeanne Robinson,1980
On Wings of Song,Thomas M. Disch,1980
The Faded Sun: Kutath,C. J. Cherryh,1980
The Road to Corlay,Richard Cowper,1980
Dragondrums,Anne McCaffrey,1980
Engine Summer,John Crowley,1980
The Face,Jack Vance,1980
Juniper Time,Kate Wilhelm,1980
Transfigurations,Michael Bishop,1980
Roadmarks,Roger Zelazny,1980
Kinsman,Ben Bova,1980
SS-GB,Len Deighton,1980
Catacomb Years,Michael Bishop,1980
The Web Between the Worlds,Charles Sheffield,1980
Mayflies,Kevin O'Donnell,1980
The Unlimited Dream Company,J. G. Ballard,1980
A Planet Called Treason,Orson Scott Card,1980
A World Between,Norman Spinrad,1980
The Two Faces of Tomorrow,James P. Hogan,1980
The Day of the Klesh,M. A. Foster,1980
The Ringworld Engineers,Larry Niven,1980
Janissaries,Jerry Pournelle,1980
Harpist in the Wind,Patricia A. McKillip,1980
The Dead Zone,Stephen King,1980
Tales of Nevèrÿon,Samuel R. Delany,1980
Castle Roogna,Piers Anthony,1980
The Merman's Children,Poul Anderson,1980
Fires of Azeroth,C. J. Cherryh,1980
Watchtower,Elizabeth A. Lynn,1980
The Last Enchantment,Mary Stewart,1980
Malafrena,Ursula K. Le Guin,1980
Death's Master,Tanith Lee,1980
The Palace,Chelsea Quinn Yarbro,1980
The Dancers of Arun,Elizabeth A. Lynn,1980
Kindred,Octavia E. Butler,1980
Daughter of the Bright Moon,Lynn Abbey,1980
The Door Into Fire,Diane Duane,1980
Sorcerer's Son,Phyllis Eisenstein,1980
The Drawing of the Dark,Tim Powers,1980
The Snow Queen,Joan D. Vinge,1981
Beyond the Blue Event Horizon,Frederik Pohl,1981
The Ringworld Engineers,Larry Niven,1981
Wizard,John Varley,1981
Timescape,Gregory Benford,1981
Mockingbird,Walter S. Tevis,1981
Serpent's Reach,C. J. Cherryh,1981
Firestarter,Stephen King,1981
The Number of the Beast,Robert A. Heinlein,1981
The Magic Labyrinth,Philip Jos� Farmer,1981
Two to Conquer,Marion Zimmer Bradley,1981
Wild Seed,Octavia E. Butler,1981
Golem100,Alfred Bester,1981
Dragon's Egg,Robert L. Forward,1981
Dangerous Games,Marta Randall,1981
Songs from the Stars,Norman Spinrad,1981
Songmaster,Orson Scott Card,1981
Eyes of Fire,Michael Bishop,1981
The Gardens of Delight,Ian Watson,1981
Molly Zero,Keith Roberts,1981
Thrice Upon a Time,James P. Hogan,1981
Waves,M. A. Foster,1981
First Channel,Jean Lorrah&Jacqueline Lichtenberg,1981
City Come A-Walkin',John Shirley,1981
Lord Valentine's Castle,Robert Silverberg,1981
The Shadow of the Torturer,Gene Wolfe,1981
The Wounded Land,Stephen R. Donaldson,1981
Changeling,Roger Zelazny,1981
The Northern Girl,Elizabeth A. Lynn,1981
Split Infinity,Piers Anthony,1981
The Beginning Place,Ursula K. Le Guin,1981
The Vampire Tapestry,Suzy McKee Charnas,1981
Shadowland,Peter Straub,1981
“The Mist”,Stephen King,1981
Ariosto,Chelsea Quinn Yarbro,1981
Kill the Dead,Tanith Lee,1981
Thorn,Fred Saberhagen,1981
Sabella,Tanith Lee,1981
After Dark,Manly Wade Wellman,1981
A Storm of Wings,M. John Harrison,1981
The Orphan,Robert Stallman,1981
Duncton Wood,William Horwood,1981
All Darkness Met,Glen Cook,1981
Firelord,Parke Godwin,1981
Necropolis,Basil Copper,1981
Master of the Five Magics,Lyndon Hardy,1981
The Many-Colored Land,Julian May,1982
Windhaven,George R. R. Martin&Lisa Tuttle,1982
Downbelow Station,C. J. Cherryh,1982
Dream Park,Larry Niven&Steven Barnes,1982
Project Pope,Clifford D. Simak,1982
God Emperor of Dune,Frank Herbert,1982
The Cool War,Frederik Pohl,1982
Sharra's Exile,Marion Zimmer Bradley,1982
Oath of Fealty,Larry Niven&Jerry Pournelle,1982
Riddley Walker,Russell Hoban,1982
The Divine Invasion,Philip K. Dick,1982
The Book of Dreams,Jack Vance,1982
