title,author,year
The Demolished Man,Alfred Bester,1953
They'd Rather Be Right(akaThe Forever Machine),Mark Clifton&Frank Riley,1955
Double Star,Robert A. Heinlein,1956
“Call Him Dead”,Eric Frank Russell,1956
The End of Eternity,Isaac Asimov,1956
The Long Tomorrow,Leigh Brackett,1956
Not This August,C. M. Kornbluth,1956
A Case of Conscience,James Blish,1959
Have Space Suit -- Will Travel,Robert A. Heinlein,1959
“Time Killer” (expanded asImmortality, Inc),1959
“We Have Fed Our Sea” (book titleThe Enemy Stars),Poul Anderson,1959
Who?,Algis Budrys,1959
Starship Troopers,Robert A. Heinlein,1960
“Dorsai!” (book titleThe Genetic General),Gordon R. Dickson,1960
“The Pirates of Ersatz” (book titleThe Pirates of Zan),Murray Leinster,1960
The Sirens of Titan,Kurt Vonnegut,1960
“That Sweet Little Old Lady” (book titleBrain Twister),Randall Garrett&Laurence M. Janifer,1960
A Canticle for Leibowitz,Walter M. Miller,1961
Deathworld,Harry Harrison,1961
The High Crusade,Poul Anderson,1961
Rogue Moon,Algis Budrys,1961
Venus Plus X,Theodore Sturgeon,1961
Stranger in a Strange Land,Robert A. Heinlein,1962
Dark Universe,Daniel F. Galouye,1962
“The Fisherman” (book titleTime Is the Simplest Thing),Clifford D. Simak,1962
Second Ending,James White,1962
“Sense of Obligation” (book titlePlanet of the Damned),Harry Harrison,1962
The Man in the High Castle,Philip K. Dick,1963
A Fall of Moondust,Arthur C. Clarke,1963
Little Fuzzy,H. Beam Piper,1963
The Sword of Aldones,Marion Zimmer Bradley,1963
Sylva,Vercors,1963
“Here Gather the Stars” (book titleWay Station),Clifford D. Simak,1964
Cat's Cradle,Kurt Vonnegut,1964
“Dune World”,Frank Herbert,1964
Glory Road,Robert A. Heinlein,1964
Witch World,Andre Norton,1964
The Wanderer,Fritz Leiber,1965
Davy,Edgar Pangborn,1965
The Planet Buyer,Cordwainer Smith,1965
The Whole Man,John Brunner,1965
“...And Call Me Conrad” (expanded asThis Immortal),Roger Zelazny,1966
Dune,Frank Herbert,1966
The Moon Is a Harsh Mistress,Robert A. Heinlein,1966
Skylark DuQuesne,E. E. Smith,1966
The Squares of the City,John Brunner,1966
The Moon Is a Harsh Mistress,Robert A. Heinlein,1967
Babel-17,Samuel R. Delany,1967
Day of the Minotaur,Thomas Burnett Swann,1967
Flowers for Algernon,Daniel Keyes,1967
Too Many Magicians,Randall Garrett,1967
The Witches of Karres,James H. Schmitz,1967
Lord of Light,Roger Zelazny,1968
The Butterfly Kid,Chester Anderson,1968
Chthon,Piers Anthony,1968
The Einstein Intersection,Samuel R. Delany,1968
Thorns,Robert Silverberg,1968
Stand on Zanzibar,John Brunner,1969
The Goblin Reservation,Clifford D. Simak,1969
Nova,Samuel R. Delany,1969
Past Master,R. A. Lafferty,1969
Rite of Passage,Alexei Panshin,1969
The Left Hand of Darkness,Ursula K. Le Guin,1970
Bug Jack Barron,Norman Spinrad,1970
Macroscope,Piers Anthony,1970
Slaughterhouse-Five,Kurt Vonnegut,1970
Up the Line,Robert Silverberg,1970
Ringworld,Larry Niven,1971
“Star Light”,Hal Clement,1971
Tau Zero,Poul Anderson,1971
Tower of Glass,Robert Silverberg,1971
The Year of the Quiet Sun,Wilson Tucker,1971
To Your Scattered Bodies Go,Philip Jos� Farmer,1972
Dragonquest,Anne McCaffrey,1972
Jack of Shadows,Roger Zelazny,1972
The Lathe of Heaven,Ursula K. Le Guin,1972
A Time of Changes,Robert Silverberg,1972
The World Inside,Robert Silverberg,1972
The Gods Themselves,Isaac Asimov,1973
The Book of Skulls,Robert Silverberg,1973
A Choice of Gods,Clifford D. Simak,1973
Dying Inside,Robert Silverberg,1973
There Will Be Time,Poul Anderson,1973
When Harlie Was One,David Gerrold,1973
Rendezvous with Rama,Arthur C. Clarke,1974
The Man Who Folded Himself,David Gerrold,1974
The People of the Wind,Poul Anderson,1974
Protector,Larry Niven,1974
Time Enough for Love,Robert A. Heinlein,1974
The Dispossessed,Ursula K. Le Guin,1975
Fire Time,Poul Anderson,1975
Flow My Tears, the Policeman Said,1975
The Inverted World,Christopher Priest,1975
The Mote In God's Eye,Larry Niven&Jerry Pournelle,1975
The Forever War,Joe Haldeman,1976
The Computer Connection,Alfred Bester,1976
Doorways in the Sand,Roger Zelazny,1976
“Inferno”,Larry Niven&Jerry Pournelle,1976
The Stochastic Man,Robert Silverberg,1976
Where Late the Sweet Birds Sang,Kate Wilhelm,1977
Children of Dune,Frank Herbert,1977
Man Plus,Frederik Pohl,1977
Mindbridge,Joe Haldeman,1977
Shadrach in the Furnace,Robert Silverberg,1977
Gateway,Frederik Pohl,1978
Dying of the Light,George R. R. Martin,1978
The Forbidden Tower,Marion Zimmer Bradley,1978
Lucifer's Hammer,Larry Niven&Jerry Pournelle,1978
Time Storm,Gordon R. Dickson,1978
Dreamsnake,Vonda N. McIntyre,1979
Blind Voices,Tom Reamy,1979
The Faded Sun: Kesrith,C. J. Cherryh,1979
The White Dragon,Anne McCaffrey,1979
Up the Walls of the World,James Tiptree,1979
The Fountains of Paradise,Arthur C. Clarke,1980
Harpist in the Wind,Patricia A. McKillip,1980
Jem,Frederik Pohl,1980
On Wings of Song,Thomas M. Disch,1980
Titan,John Varley,1980
The Snow Queen,Joan D. Vinge,1981
Beyond the Blue Event Horizon,Frederik Pohl,1981
