batch_num	isbn	title	author	release_year	publisher	description	tags
4	9780593359549	His Majesty's Dragon	Naomi Novik	2005	Del Rey	Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors rise to Britain's defense by taking to the skies . . . not aboard aircraft but atop the mighty backs of fighting dragons.When HMS Reliant captures a French frigate and seizes its precious cargo, an unhatched dragon egg, fate sweeps Capt. Will Laurence from his seafaring life into an uncertain future--and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as France's own dragon-borne forces rally to breach British soil in Bonaparte's boldest gambit, Laurence and Temeraire must soar into their own baptism of fire.	[{'Fantasy': 3}, {'Fiction': 2}, {'Science Fiction': 1}, {'War': 1}, {'Young Adult': 1}, {'Adventure': 1}, {'Juvenile Fiction': 0}, {'Alternative histories (Fiction)': 0}, {'Loveable Characters': 17}, {'Strong Character Development': 15}, {'A mix driven': 12}, {'Not Diverse Characters': 10}, {'Plot driven': 2}, {'Character driven': 2}, {'Diverse Characters': 2}, {'calvin': 1}, {'Master & Commander': 1}, {'Weak Character Development': 0}, {'Adventurous': 21}, {'emotional': 8}, {'funny': 6}, {'lighthearted': 4}, {'tense': 3}, {'hopeful': 2}, {'challenging': 1}, {'sad': 1}]
4		Temeraire	Naomi Novik	2005	HarperCollins Publishers	Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors rise to Britain's defense by taking to the skies . . . not aboard aircraft but atop the mighty backs of fighting dragons.When HMS Reliant captures a French frigate and seizes its precious cargo, an unhatched dragon egg, fate sweeps Capt. Will Laurence from his seafaring life into an uncertain future--and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as France's own dragon-borne forces rally to breach British soil in Bonaparte's boldest gambit, Laurence and Temeraire must soar into their own baptism of fire.	[{'Fantasy': 3}, {'Fiction': 2}, {'Science Fiction': 1}, {'War': 1}, {'Young Adult': 1}, {'Adventure': 1}, {'Juvenile Fiction': 0}, {'Alternative histories (Fiction)': 0}, {'Loveable Characters': 17}, {'Strong Character Development': 15}, {'A mix driven': 12}, {'Not Diverse Characters': 10}, {'Plot driven': 2}, {'Character driven': 2}, {'Diverse Characters': 2}, {'calvin': 1}, {'Master & Commander': 1}, {'Weak Character Development': 0}, {'Adventurous': 21}, {'emotional': 8}, {'funny': 6}, {'lighthearted': 4}, {'tense': 3}, {'hopeful': 2}, {'challenging': 1}, {'sad': 1}]
4	9780007219100	Temeraire	Naomi Novik	2005	Voyager	Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors rise to Britain's defense by taking to the skies . . . not aboard aircraft but atop the mighty backs of fighting dragons.When HMS Reliant captures a French frigate and seizes its precious cargo, an unhatched dragon egg, fate sweeps Capt. Will Laurence from his seafaring life into an uncertain future--and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as France's own dragon-borne forces rally to breach British soil in Bonaparte's boldest gambit, Laurence and Temeraire must soar into their own baptism of fire.	[{'Fantasy': 3}, {'Fiction': 2}, {'Science Fiction': 1}, {'War': 1}, {'Young Adult': 1}, {'Adventure': 1}, {'Juvenile Fiction': 0}, {'Alternative histories (Fiction)': 0}, {'Loveable Characters': 17}, {'Strong Character Development': 15}, {'A mix driven': 12}, {'Not Diverse Characters': 10}, {'Plot driven': 2}, {'Character driven': 2}, {'Diverse Characters': 2}, {'calvin': 1}, {'Master & Commander': 1}, {'Weak Character Development': 0}, {'Adventurous': 21}, {'emotional': 8}, {'funny': 6}, {'lighthearted': 4}, {'tense': 3}, {'hopeful': 2}, {'challenging': 1}, {'sad': 1}]
4	9780739468715	Temeraire: In the Service of the King	Naomi Novik	2005	SFBC	Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors rise to Britain's defense by taking to the skies . . . not aboard aircraft but atop the mighty backs of fighting dragons.When HMS Reliant captures a French frigate and seizes its precious cargo, an unhatched dragon egg, fate sweeps Capt. Will Laurence from his seafaring life into an uncertain future--and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as France's own dragon-borne forces rally to breach British soil in Bonaparte's boldest gambit, Laurence and Temeraire must soar into their own baptism of fire.	[{'Fantasy': 3}, {'Fiction': 2}, {'Science Fiction': 1}, {'War': 1}, {'Young Adult': 1}, {'Adventure': 1}, {'Juvenile Fiction': 0}, {'Alternative histories (Fiction)': 0}, {'Loveable Characters': 17}, {'Strong Character Development': 15}, {'A mix driven': 12}, {'Not Diverse Characters': 10}, {'Plot driven': 2}, {'Character driven': 2}, {'Diverse Characters': 2}, {'calvin': 1}, {'Master & Commander': 1}, {'Weak Character Development': 0}, {'Adventurous': 21}, {'emotional': 8}, {'funny': 6}, {'lighthearted': 4}, {'tense': 3}, {'hopeful': 2}, {'challenging': 1}, {'sad': 1}]
4	9780007258710	Temeraire	Naomi Novik	2005	Harper Voyager	Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors rise to Britain's defense by taking to the skies . . . not aboard aircraft but atop the mighty backs of fighting dragons.When HMS Reliant captures a French frigate and seizes its precious cargo, an unhatched dragon egg, fate sweeps Capt. Will Laurence from his seafaring life into an uncertain future--and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as France's own dragon-borne forces rally to breach British soil in Bonaparte's boldest gambit, Laurence and Temeraire must soar into their own baptism of fire.	[{'Fantasy': 3}, {'Fiction': 2}, {'Science Fiction': 1}, {'War': 1}, {'Young Adult': 1}, {'Adventure': 1}, {'Juvenile Fiction': 0}, {'Alternative histories (Fiction)': 0}, {'Loveable Characters': 17}, {'Strong Character Development': 15}, {'A mix driven': 12}, {'Not Diverse Characters': 10}, {'Plot driven': 2}, {'Character driven': 2}, {'Diverse Characters': 2}, {'calvin': 1}, {'Master & Commander': 1}, {'Weak Character Development': 0}, {'Adventurous': 21}, {'emotional': 8}, {'funny': 6}, {'lighthearted': 4}, {'tense': 3}, {'hopeful': 2}, {'challenging': 1}, {'sad': 1}]
4	9781415940150	His Majesty's Dragon	Naomi Novik	2005	Random House Audio	Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors rise to Britain's defense by taking to the skies . . . not aboard aircraft but atop the mighty backs of fighting dragons.When HMS Reliant captures a French frigate and seizes its precious cargo, an unhatched dragon egg, fate sweeps Capt. Will Laurence from his seafaring life into an uncertain future--and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as France's own dragon-borne forces rally to breach British soil in Bonaparte's boldest gambit, Laurence and Temeraire must soar into their own baptism of fire.	[{'Fantasy': 3}, {'Fiction': 2}, {'Science Fiction': 1}, {'War': 1}, {'Young Adult': 1}, {'Adventure': 1}, {'Juvenile Fiction': 0}, {'Alternative histories (Fiction)': 0}, {'Loveable Characters': 17}, {'Strong Character Development': 15}, {'A mix driven': 12}, {'Not Diverse Characters': 10}, {'Plot driven': 2}, {'Character driven': 2}, {'Diverse Characters': 2}, {'calvin': 1}, {'Master & Commander': 1}, {'Weak Character Development': 0}, {'Adventurous': 21}, {'emotional': 8}, {'funny': 6}, {'lighthearted': 4}, {'tense': 3}, {'hopeful': 2}, {'challenging': 1}, {'sad': 1}]
4	9780007318551	Temeraire	Naomi Novik	2005	HarperCollins Publishers	Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors rise to Britain's defense by taking to the skies . . . not aboard aircraft but atop the mighty backs of fighting dragons.When HMS Reliant captures a French frigate and seizes its precious cargo, an unhatched dragon egg, fate sweeps Capt. Will Laurence from his seafaring life into an uncertain future--and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as France's own dragon-borne forces rally to breach British soil in Bonaparte's boldest gambit, Laurence and Temeraire must soar into their own baptism of fire.	[{'Fantasy': 3}, {'Fiction': 2}, {'Science Fiction': 1}, {'War': 1}, {'Young Adult': 1}, {'Adventure': 1}, {'Juvenile Fiction': 0}, {'Alternative histories (Fiction)': 0}, {'Loveable Characters': 17}, {'Strong Character Development': 15}, {'A mix driven': 12}, {'Not Diverse Characters': 10}, {'Plot driven': 2}, {'Character driven': 2}, {'Diverse Characters': 2}, {'calvin': 1}, {'Master & Commander': 1}, {'Weak Character Development': 0}, {'Adventurous': 21}, {'emotional': 8}, {'funny': 6}, {'lighthearted': 4}, {'tense': 3}, {'hopeful': 2}, {'challenging': 1}, {'sad': 1}]
4	9780739488423	Empire of Ivory	Naomi Novik	2005	Del Rey	Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors rise to Britain's defense by taking to the skies . . . not aboard aircraft but atop the mighty backs of fighting dragons.When HMS Reliant captures a French frigate and seizes its precious cargo, an unhatched dragon egg, fate sweeps Capt. Will Laurence from his seafaring life into an uncertain future--and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as France's own dragon-borne forces rally to breach British soil in Bonaparte's boldest gambit, Laurence and Temeraire must soar into their own baptism of fire.	[{'Fantasy': 3}, {'Fiction': 2}, {'Science Fiction': 1}, {'War': 1}, {'Young Adult': 1}, {'Adventure': 1}, {'Juvenile Fiction': 0}, {'Alternative histories (Fiction)': 0}, {'Loveable Characters': 17}, {'Strong Character Development': 15}, {'A mix driven': 12}, {'Not Diverse Characters': 10}, {'Plot driven': 2}, {'Character driven': 2}, {'Diverse Characters': 2}, {'calvin': 1}, {'Master & Commander': 1}, {'Weak Character Development': 0}, {'Adventurous': 21}, {'emotional': 8}, {'funny': 6}, {'lighthearted': 4}, {'tense': 3}, {'hopeful': 2}, {'challenging': 1}, {'sad': 1}]
4	9780007219094	Temeraire	Naomi Novik	2005	Voyager	Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors rise to Britain's defense by taking to the skies . . . not aboard aircraft but atop the mighty backs of fighting dragons.When HMS Reliant captures a French frigate and seizes its precious cargo, an unhatched dragon egg, fate sweeps Capt. Will Laurence from his seafaring life into an uncertain future--and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as France's own dragon-borne forces rally to breach British soil in Bonaparte's boldest gambit, Laurence and Temeraire must soar into their own baptism of fire.	[{'Fantasy': 3}, {'Fiction': 2}, {'Science Fiction': 1}, {'War': 1}, {'Young Adult': 1}, {'Adventure': 1}, {'Juvenile Fiction': 0}, {'Alternative histories (Fiction)': 0}, {'Loveable Characters': 17}, {'Strong Character Development': 15}, {'A mix driven': 12}, {'Not Diverse Characters': 10}, {'Plot driven': 2}, {'Character driven': 2}, {'Diverse Characters': 2}, {'calvin': 1}, {'Master & Commander': 1}, {'Weak Character Development': 0}, {'Adventurous': 21}, {'emotional': 8}, {'funny': 6}, {'lighthearted': 4}, {'tense': 3}, {'hopeful': 2}, {'challenging': 1}, {'sad': 1}]
4	9780345490728	His Majesty's Dragon	Naomi Novik	2005	Del Rey	Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors rise to Britain's defense by taking to the skies . . . not aboard aircraft but atop the mighty backs of fighting dragons.When HMS Reliant captures a French frigate and seizes its precious cargo, an unhatched dragon egg, fate sweeps Capt. Will Laurence from his seafaring life into an uncertain future--and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as France's own dragon-borne forces rally to breach British soil in Bonaparte's boldest gambit, Laurence and Temeraire must soar into their own baptism of fire.	[{'Fantasy': 3}, {'Fiction': 2}, {'Science Fiction': 1}, {'War': 1}, {'Young Adult': 1}, {'Adventure': 1}, {'Juvenile Fiction': 0}, {'Alternative histories (Fiction)': 0}, {'Loveable Characters': 17}, {'Strong Character Development': 15}, {'A mix driven': 12}, {'Not Diverse Characters': 10}, {'Plot driven': 2}, {'Character driven': 2}, {'Diverse Characters': 2}, {'calvin': 1}, {'Master & Commander': 1}, {'Weak Character Development': 0}, {'Adventurous': 21}, {'emotional': 8}, {'funny': 6}, {'lighthearted': 4}, {'tense': 3}, {'hopeful': 2}, {'challenging': 1}, {'sad': 1}]
4		His Majesty's Dragon	Naomi Novik	2005	Books on Tape	Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors rise to Britain's defense by taking to the skies . . . not aboard aircraft but atop the mighty backs of fighting dragons.When HMS Reliant captures a French frigate and seizes its precious cargo, an unhatched dragon egg, fate sweeps Capt. Will Laurence from his seafaring life into an uncertain future--and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as France's own dragon-borne forces rally to breach British soil in Bonaparte's boldest gambit, Laurence and Temeraire must soar into their own baptism of fire.	[{'Fantasy': 3}, {'Fiction': 2}, {'Science Fiction': 1}, {'War': 1}, {'Young Adult': 1}, {'Adventure': 1}, {'Juvenile Fiction': 0}, {'Alternative histories (Fiction)': 0}, {'Loveable Characters': 17}, {'Strong Character Development': 15}, {'A mix driven': 12}, {'Not Diverse Characters': 10}, {'Plot driven': 2}, {'Character driven': 2}, {'Diverse Characters': 2}, {'calvin': 1}, {'Master & Commander': 1}, {'Weak Character Development': 0}, {'Adventurous': 21}, {'emotional': 8}, {'funny': 6}, {'lighthearted': 4}, {'tense': 3}, {'hopeful': 2}, {'challenging': 1}, {'sad': 1}]
4	9780345481283	His Majesty's Dragon	Naomi Novik	2005	Del Rey Books	Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors rise to Britain's defense by taking to the skies . . . not aboard aircraft but atop the mighty backs of fighting dragons.When HMS Reliant captures a French frigate and seizes its precious cargo, an unhatched dragon egg, fate sweeps Capt. Will Laurence from his seafaring life into an uncertain future--and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as France's own dragon-borne forces rally to breach British soil in Bonaparte's boldest gambit, Laurence and Temeraire must soar into their own baptism of fire.	[{'Fantasy': 3}, {'Fiction': 2}, {'Science Fiction': 1}, {'War': 1}, {'Young Adult': 1}, {'Adventure': 1}, {'Juvenile Fiction': 0}, {'Alternative histories (Fiction)': 0}, {'Loveable Characters': 17}, {'Strong Character Development': 15}, {'A mix driven': 12}, {'Not Diverse Characters': 10}, {'Plot driven': 2}, {'Character driven': 2}, {'Diverse Characters': 2}, {'calvin': 1}, {'Master & Commander': 1}, {'Weak Character Development': 0}, {'Adventurous': 21}, {'emotional': 8}, {'funny': 6}, {'lighthearted': 4}, {'tense': 3}, {'hopeful': 2}, {'challenging': 1}, {'sad': 1}]
