batch_num	isbn	title	author	release_year	publisher	description	tags
3	9781429927161	Eifelheim	Michael Flynn	2006	Macmillan	"**The alien world of medieval Europe lives again, transformed by the physics of the future, by a winner of the Heinlein Award**

Over the centuries, one small town in Germany has disappeared and never been resettled. Tom, a historian, and his theoretical physicist girlfriend Sharon, become interested. By all logic, the town should have survived. What's so special about Eifelheim?


Father Dietrich is the village priest of Eifelheim, in the year 1348, when the Black Death is gathering strength but is still not nearby. Dietrich is an educated man, and to his astonishment becomes the first contact person between humanity and an alien race from a distant star, when their ship crashes in the nearby forest. It is a time of wonders, in the shadow of the plague. Flynn gives us the full richness and strangeness of medieval life, as well as some terrific aliens.

Tom and Sharon, and Father Deitrich have a strange destiny of tragedy and triumph in *Eifelheim*, the brilliant science fiction novel by Michael Flynn.

([Source][1])

[1]: https://us.macmillan.com/books/9780765319104/eifelheim/"	[{'Science Fiction': 2}, {'Young Adult': 1}, {'Fiction': 1}, {'Fantasy': 1}, {'Aliens': 1}, {'History': 1}, {'Space': 1}]
3	9780765300966	Eifelheim	Michael Flynn	2006	Macmillan	"**The alien world of medieval Europe lives again, transformed by the physics of the future, by a winner of the Heinlein Award**

Over the centuries, one small town in Germany has disappeared and never been resettled. Tom, a historian, and his theoretical physicist girlfriend Sharon, become interested. By all logic, the town should have survived. What's so special about Eifelheim?


Father Dietrich is the village priest of Eifelheim, in the year 1348, when the Black Death is gathering strength but is still not nearby. Dietrich is an educated man, and to his astonishment becomes the first contact person between humanity and an alien race from a distant star, when their ship crashes in the nearby forest. It is a time of wonders, in the shadow of the plague. Flynn gives us the full richness and strangeness of medieval life, as well as some terrific aliens.

Tom and Sharon, and Father Deitrich have a strange destiny of tragedy and triumph in *Eifelheim*, the brilliant science fiction novel by Michael Flynn.

([Source][1])

[1]: https://us.macmillan.com/books/9780765319104/eifelheim/"	[{'Science Fiction': 2}, {'Young Adult': 1}, {'Fiction': 1}, {'Fantasy': 1}, {'Aliens': 1}, {'History': 1}, {'Space': 1}]
4	9788072039043	Drak Jeho Veličenstva	Naomi Novik	2005	HarperCollins UK	Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors rise to Britain's defense by taking to the skies . . . not aboard aircraft but atop the mighty backs of fighting dragons.When HMS Reliant captures a French frigate and seizes its precious cargo, an unhatched dragon egg, fate sweeps Capt. Will Laurence from his seafaring life into an uncertain future--and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as France's own dragon-borne forces rally to breach British soil in Bonaparte's boldest gambit, Laurence and Temeraire must soar into their own baptism of fire.	[{'Fantasy': 3}, {'Fiction': 2}, {'Science Fiction': 1}, {'War': 1}, {'Young Adult': 1}, {'Adventure': 1}, {'Juvenile Fiction': 0}, {'Alternative histories (Fiction)': 0}, {'Loveable Characters': 17}, {'Strong Character Development': 15}, {'A mix driven': 12}, {'Not Diverse Characters': 10}, {'Plot driven': 2}, {'Character driven': 2}, {'Diverse Characters': 2}, {'calvin': 1}, {'Master & Commander': 1}, {'Weak Character Development': 0}, {'Adventurous': 21}, {'emotional': 8}, {'funny': 6}, {'lighthearted': 4}, {'tense': 3}, {'hopeful': 2}, {'challenging': 1}, {'sad': 1}]
4		His Majesty's Dragon	Naomi Novik	2005	Random House Audio	Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors rise to Britain's defense by taking to the skies . . . not aboard aircraft but atop the mighty backs of fighting dragons.When HMS Reliant captures a French frigate and seizes its precious cargo, an unhatched dragon egg, fate sweeps Capt. Will Laurence from his seafaring life into an uncertain future--and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as France's own dragon-borne forces rally to breach British soil in Bonaparte's boldest gambit, Laurence and Temeraire must soar into their own baptism of fire.	[{'Fantasy': 3}, {'Fiction': 2}, {'Science Fiction': 1}, {'War': 1}, {'Young Adult': 1}, {'Adventure': 1}, {'Juvenile Fiction': 0}, {'Alternative histories (Fiction)': 0}, {'Loveable Characters': 17}, {'Strong Character Development': 15}, {'A mix driven': 12}, {'Not Diverse Characters': 10}, {'Plot driven': 2}, {'Character driven': 2}, {'Diverse Characters': 2}, {'calvin': 1}, {'Master & Commander': 1}, {'Weak Character Development': 0}, {'Adventurous': 21}, {'emotional': 8}, {'funny': 6}, {'lighthearted': 4}, {'tense': 3}, {'hopeful': 2}, {'challenging': 1}, {'sad': 1}]
4	9780739354131	His Majesty's Dragon	Naomi Novik	2005	RH Audio	Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors rise to Britain's defense by taking to the skies . . . not aboard aircraft but atop the mighty backs of fighting dragons.When HMS Reliant captures a French frigate and seizes its precious cargo, an unhatched dragon egg, fate sweeps Capt. Will Laurence from his seafaring life into an uncertain future--and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as France's own dragon-borne forces rally to breach British soil in Bonaparte's boldest gambit, Laurence and Temeraire must soar into their own baptism of fire.	[{'Fantasy': 3}, {'Fiction': 2}, {'Science Fiction': 1}, {'War': 1}, {'Young Adult': 1}, {'Adventure': 1}, {'Juvenile Fiction': 0}, {'Alternative histories (Fiction)': 0}, {'Loveable Characters': 17}, {'Strong Character Development': 15}, {'A mix driven': 12}, {'Not Diverse Characters': 10}, {'Plot driven': 2}, {'Character driven': 2}, {'Diverse Characters': 2}, {'calvin': 1}, {'Master & Commander': 1}, {'Weak Character Development': 0}, {'Adventurous': 21}, {'emotional': 8}, {'funny': 6}, {'lighthearted': 4}, {'tense': 3}, {'hopeful': 2}, {'challenging': 1}, {'sad': 1}]
4	9780007219117	Temeraire	Naomi Novik	2005	Voyager	Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors rise to Britain's defense by taking to the skies . . . not aboard aircraft but atop the mighty backs of fighting dragons.When HMS Reliant captures a French frigate and seizes its precious cargo, an unhatched dragon egg, fate sweeps Capt. Will Laurence from his seafaring life into an uncertain future--and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as France's own dragon-borne forces rally to breach British soil in Bonaparte's boldest gambit, Laurence and Temeraire must soar into their own baptism of fire.	[{'Fantasy': 3}, {'Fiction': 2}, {'Science Fiction': 1}, {'War': 1}, {'Young Adult': 1}, {'Adventure': 1}, {'Juvenile Fiction': 0}, {'Alternative histories (Fiction)': 0}, {'Loveable Characters': 17}, {'Strong Character Development': 15}, {'A mix driven': 12}, {'Not Diverse Characters': 10}, {'Plot driven': 2}, {'Character driven': 2}, {'Diverse Characters': 2}, {'calvin': 1}, {'Master & Commander': 1}, {'Weak Character Development': 0}, {'Adventurous': 21}, {'emotional': 8}, {'funny': 6}, {'lighthearted': 4}, {'tense': 3}, {'hopeful': 2}, {'challenging': 1}, {'sad': 1}]
4	9781596061460	His Majesty's Dragon	Naomi Novik	2005	Subterranean Press	Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors rise to Britain's defense by taking to the skies . . . not aboard aircraft but atop the mighty backs of fighting dragons.When HMS Reliant captures a French frigate and seizes its precious cargo, an unhatched dragon egg, fate sweeps Capt. Will Laurence from his seafaring life into an uncertain future--and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as France's own dragon-borne forces rally to breach British soil in Bonaparte's boldest gambit, Laurence and Temeraire must soar into their own baptism of fire.	[{'Fantasy': 3}, {'Fiction': 2}, {'Science Fiction': 1}, {'War': 1}, {'Young Adult': 1}, {'Adventure': 1}, {'Juvenile Fiction': 0}, {'Alternative histories (Fiction)': 0}, {'Loveable Characters': 17}, {'Strong Character Development': 15}, {'A mix driven': 12}, {'Not Diverse Characters': 10}, {'Plot driven': 2}, {'Character driven': 2}, {'Diverse Characters': 2}, {'calvin': 1}, {'Master & Commander': 1}, {'Weak Character Development': 0}, {'Adventurous': 21}, {'emotional': 8}, {'funny': 6}, {'lighthearted': 4}, {'tense': 3}, {'hopeful': 2}, {'challenging': 1}, {'sad': 1}]
4	9781415940167	His Majesty's Dragon	Naomi Novik	2005	Books on Tape	Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors rise to Britain's defense by taking to the skies . . . not aboard aircraft but atop the mighty backs of fighting dragons.When HMS Reliant captures a French frigate and seizes its precious cargo, an unhatched dragon egg, fate sweeps Capt. Will Laurence from his seafaring life into an uncertain future--and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as France's own dragon-borne forces rally to breach British soil in Bonaparte's boldest gambit, Laurence and Temeraire must soar into their own baptism of fire.	[{'Fantasy': 3}, {'Fiction': 2}, {'Science Fiction': 1}, {'War': 1}, {'Young Adult': 1}, {'Adventure': 1}, {'Juvenile Fiction': 0}, {'Alternative histories (Fiction)': 0}, {'Loveable Characters': 17}, {'Strong Character Development': 15}, {'A mix driven': 12}, {'Not Diverse Characters': 10}, {'Plot driven': 2}, {'Character driven': 2}, {'Diverse Characters': 2}, {'calvin': 1}, {'Master & Commander': 1}, {'Weak Character Development': 0}, {'Adventurous': 21}, {'emotional': 8}, {'funny': 6}, {'lighthearted': 4}, {'tense': 3}, {'hopeful': 2}, {'challenging': 1}, {'sad': 1}]
4	9780007451425	Temeraire	Naomi Novik	2005	Voyager	Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors rise to Britain's defense by taking to the skies . . . not aboard aircraft but atop the mighty backs of fighting dragons.When HMS Reliant captures a French frigate and seizes its precious cargo, an unhatched dragon egg, fate sweeps Capt. Will Laurence from his seafaring life into an uncertain future--and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as France's own dragon-borne forces rally to breach British soil in Bonaparte's boldest gambit, Laurence and Temeraire must soar into their own baptism of fire.	[{'Fantasy': 3}, {'Fiction': 2}, {'Science Fiction': 1}, {'War': 1}, {'Young Adult': 1}, {'Adventure': 1}, {'Juvenile Fiction': 0}, {'Alternative histories (Fiction)': 0}, {'Loveable Characters': 17}, {'Strong Character Development': 15}, {'A mix driven': 12}, {'Not Diverse Characters': 10}, {'Plot driven': 2}, {'Character driven': 2}, {'Diverse Characters': 2}, {'calvin': 1}, {'Master & Commander': 1}, {'Weak Character Development': 0}, {'Adventurous': 21}, {'emotional': 8}, {'funny': 6}, {'lighthearted': 4}, {'tense': 3}, {'hopeful': 2}, {'challenging': 1}, {'sad': 1}]
4	9788416517893	El Dragón de Su Majestad	Naomi Novik	2005	Ediciones Urano	Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors rise to Britain's defense by taking to the skies . . . not aboard aircraft but atop the mighty backs of fighting dragons.When HMS Reliant captures a French frigate and seizes its precious cargo, an unhatched dragon egg, fate sweeps Capt. Will Laurence from his seafaring life into an uncertain future--and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as France's own dragon-borne forces rally to breach British soil in Bonaparte's boldest gambit, Laurence and Temeraire must soar into their own baptism of fire.	[{'Fantasy': 3}, {'Fiction': 2}, {'Science Fiction': 1}, {'War': 1}, {'Young Adult': 1}, {'Adventure': 1}, {'Juvenile Fiction': 0}, {'Alternative histories (Fiction)': 0}, {'Loveable Characters': 17}, {'Strong Character Development': 15}, {'A mix driven': 12}, {'Not Diverse Characters': 10}, {'Plot driven': 2}, {'Character driven': 2}, {'Diverse Characters': 2}, {'calvin': 1}, {'Master & Commander': 1}, {'Weak Character Development': 0}, {'Adventurous': 21}, {'emotional': 8}, {'funny': 6}, {'lighthearted': 4}, {'tense': 3}, {'hopeful': 2}, {'challenging': 1}, {'sad': 1}]
