title	author
Call Him Dead	Eric Frank Russell
Sylva	Vercors
Dune World	Frank Herbert
Eifelheim	Michael Flynn
His Majesty's Dragon	Naomi Novik
Blackout/All Clear	Connie Willis
The Wheel of Time	Robert Jordan
The Wheel of Time	Brandon Sanderson
The Three-Body Problem	Cixin Liu
The Goblin Emperor	Katherine Addison
Death's End	Cixin Liu
Nettle & Bone	T. Kingfisher
The Adventures of Amina al-Sirafi	Shannon Chakraborty
A Sorceress Comes to Call	T. Kingfisher
Blake's Progress	Ray Nelson
Illuminatus!	Robert Shea
Illuminatus!	Robert Anton Wilson
All My Sins Remembered	Joe Haldeman
The Silmarillion	J. R. R. Tolkien
The Chronicles of Thomas Covenant the Unbeliever	Stephen R. Donaldson
Catacomb Years	Michael Bishop
Tales of Nevèrÿon	Samuel R. Delany
King David's Spaceship	Jerry Pournelle
Journey Behind the Wind	Patricia Wrightson
Lyonesse	Jack Vance
The Neverending Story	Michael Ende
The Book of Kells	R. A. MacAvoy
Wizard of the Pigeons	Megan Lindholm
Lear's Daughters	M. Bradley KelloggwithWilliam Rossow
Wizard of the Pigeons	Megan Lindholm
New York by Knight	Esther M. Friesner
The Secret Ascension	Michael Bishop
The Awakeners:Northshore; Southshore	Sheri S. Tepper
The Reindeer People	Megan Lindholm
In the Country of the Blind	Michael F. Flynn
Ghostwood	Charles de Lint
Cloven Hooves	Megan Lindholm
The Gypsy	Steven Brust
The Gypsy	Megan Lindholm
Einstein's Bridge	John Cramer
Gate of Ivory	 Gate of Horn
Whole Wide World	Paul McAuley
The Golden Age: The Phoenix Exultant; The Golden Transcendence	John C. Wright
Succession: The Risen Empire; The Killing of Worlds	Scott Westerfeld
The Fourth Circle	Zoran Zivkovic
The Wizard Knight	Gene Wolfe
One King, One Soldier	Alexander C. Irvine
The Carpet Makers	Andreas Eschbach
Eifelheim	Michael Flynn
Engineer Trilogy: Devices and Desires/Evil for Evil/The Escapement	K. J. Parker
Blood Engines	T. A. Pratt
The Quiet War	Paul McAuley
The January Dancer	Michael Flynn
The Company	K. J. Parker
Shadowbridge/Lord Tophet	Gregory Frost
Memoirs of a Master Forger	William Heaney
Gardens of the Sun	Paul McAuley
Buyout	Alexander C. Irvine
Cloud & Ashes: Three Winter's Tales	Greer Gilman
Spell Games	T. A. Pratt
Dragon in Chains	Daniel Fox
Blackout/All Clear	Connie Willis
The Folding Knife	K. J. Parker
Jade Man's Skin	Daniel Fox
Caliban's War	James S. A. Corey
In the Mouth of the Whale	Paul McAuley
Sharps	K. J. Parker
Abaddon's Gate	James S. A. Corey
Evening's Empires	Paul McAuley
The Cusanus Game	Wolfgang Jeschke
Blood Oranges	Kathleen Tierney
The Three-Body Problem	Cixin Liu
Annihilation/Authority/Acceptance	Jeff VanderMeer
The Memory of Sky	Robert Reed
The Goblin Emperor	Katherine Addison
Death's End	Cixin Liu
Babylon's Ashes	James S. A. Corey
The Last Days of New Paris	China Miéville
The Wonder Engine	T. Kingfisher
The Rosewater Insurrection/The Rosewater Redemption	Tade Thompson
War of the Maps	Paul McAuley
The Angel of the Crows	Katherine Addison
The Galaxy	 and the Ground Within
Leviathan Falls	James S. A. Corey
The Witness for the Dead	Katherine Addison
Paladin's Strength	T. Kingfisher
No Gods	 No Monsters
Nettle & Bone	T. Kingfisher
The Grief of Stones	Katherine Addison
Paladin's Faith	T. Kingfisher
To Shape a Dragon's Breath	Moniquill Blackgoose
My Mother's Keeper	Tim Powers
The Mercy of Gods	James S. A. Corey
A Sorceress Comes to Call	T. Kingfisher
Slow Gods	Claire North
Hemlock & Silver	T. Kingfisher
The Tomb of Dragons	Katherine Addison
